"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_cfgvehicles_drybag_orange0","$UNT$An orange bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$An orange bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$An orange bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$An orange bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$An orange bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$An orange bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$An orange bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$An orange bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$An orange bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$An orange bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$An orange bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$An orange bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$An orange bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$An orange bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.",
"str_cfgvehicles_drybag_green0","$UNT$A green bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A green bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A green bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A green bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A green bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A green bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A green bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A green bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A green bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A green bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A green bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A green bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A green bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A green bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.",
"str_cfgvehicles_drybag_colorbase1","A watertight backpack. However unfavorable the weather conditions may be, gear stays dry whilst being carried. ","A watertight backpack. However unfavorable the weather conditions may be, gear stays dry whilst being carried. ","Vodotěsný batoh. Ať už budou povětrnostní podmínky jakkoliv nepříznivé, věci uvnitř zůstanou v suchu.","Wasserdichter Rucksack. Wie schlecht das Wetter auch sein mag – in diesem Rucksack bleibt deine Ausrüstung trocken.","Водонепроницаемый рюкзак. С какими бы неблагоприятными погодными условиями вы ни столкнулись, ваше снаряжение всегда останется сухим. ","Wodoodporny plecak. Niezależnie od warunków pogodowych jego zawartość zawsze będzie sucha. ","A watertight backpack. However unfavorable the weather conditions may be, gear stays dry whilst being carried. ","Uno zaino a tenuta stagna. A prescindere dalle condizioni climatiche sfavorevoli, il contenuto resta asciutto durante il trasporto. ","Mochila sellada herméticamente. Por muy horribles que sean las condiciones meteorológicas, el equipo que transportes siempre se mantendrá seco.","Un sac à dos étanche. Quelle que soit la météo, votre matériel reste au sec. ","能隔絕水份的背包。不管天候有多惡劣，包包內的物品都能保持乾燥。","水を通さないバックパック。天気がどんなに悪くても、中に入れている道具は濡れない。","A watertight backpack. However unfavorable the weather conditions may be, gear stays dry whilst being carried. ","一款防水背包。无论天气条件多么恶劣，装备放在里面都能保持干爽。",
"str_cfgvehicles_drybag_colorbase0","Drybag Backpack","Drybag Backpack","Vodotěsný batoh","Wasserdichter Rucksack","Водонепроницаемый рюкзак","Plecak wodoodporny","Drybag Backpack","Zaino stagno","Mochila impermeable","Sac à dos étanche","防水背包","ドライバッグ・バックパック","Drybag Backpack","防水袋背包",
"str_cfgvehicles_drybag_blue0","$UNT$A blue bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A blue bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A blue bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A blue bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A blue bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A blue bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A blue bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A blue bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A blue bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A blue bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A blue bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A blue bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A blue bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A blue bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.",
"str_cfgvehicles_drybag_black0","$UNT$A black bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A black bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A black bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A black bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A black bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A black bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A black bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A black bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A black bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A black bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A black bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A black bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A black bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.","$UNT$A black bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag.",
"str_cfgvehicles_coyotebag_green0","$UNT$Large green military high capacity backpack.","$UNT$Large green military high capacity backpack.","$UNT$Large green military high capacity backpack.","$UNT$Large green military high capacity backpack.","$UNT$Large green military high capacity backpack.","$UNT$Large green military high capacity backpack.","$UNT$Large green military high capacity backpack.","$UNT$Large green military high capacity backpack.","$UNT$Large green military high capacity backpack.","$UNT$Large green military high capacity backpack.","$UNT$Large green military high capacity backpack.","$UNT$Large green military high capacity backpack.","$UNT$Large green military high capacity backpack.","$UNT$Large green military high capacity backpack.",
"str_cfgvehicles_coyotebag_colorbase1","Highly modular backpack, made from heavy-duty fabric. Versatile, great for short deployments.","Highly modular backpack, made from heavy-duty fabric. Versatile, great for short deployments.","Modulární batoh vyrobený z odolné látky. Všestranný a vhodný na kratší výpravy.","Hochgradig modularer Rucksack aus strapazierfähigem Gewebe. Flexibel und ideal für kurze Einsätze.","Рюкзак со множеством отделений, сделан из прочной ткани. Идеально подходит для коротких походов.","Plecak modułowy z wytrzymałego materiału. Wszechstronny i niezastąpiony na krótkich misjach.","Highly modular backpack, made from heavy-duty fabric. Versatile, great for short deployments.","Zaino altamente modulare realizzato con tessuto molto resistente. Versatile, ottimo per le missioni a breve termine.","Una mochila modular hecha de un tejido resistente. Es versátil e ideal para las misiones cortas.","Un sac à dos modulable, conçu en tissu solide. Versatile, ce sac est idéal pour les déploiements de courte durée.","高度模組化的背包，材質非常耐用。多功能款式，很適合短期任務。","丈夫な生地で作られた高度なモジュラーバックパック。多様性があり、短期間での配軍にぴったり。","Highly modular backpack, made from heavy-duty fabric. Versatile, great for short deployments.","高度模块化的背包，由重型面料制成。用途十分广泛，适合短期行动。",
"str_cfgvehicles_coyotebag_colorbase0","Tactical Backpack","Tactical Backpack","Taktický batoh","Taktischer Rucksack","Тактический рюкзак","Plecak taktyczny","Tactical Backpack","Zaino tattico","Mochila táctica","Sac à dos tactique","戰術背包","戦術用バックパック","Tactical Backpack","战术背包",
"str_cfgvehicles_coyotebag_brown0","$UNT$Large brown military high capacity backpack.","$UNT$Large brown military high capacity backpack.","$UNT$Large brown military high capacity backpack.","$UNT$Large brown military high capacity backpack.","$UNT$Large brown military high capacity backpack.","$UNT$Large brown military high capacity backpack.","$UNT$Large brown military high capacity backpack.","$UNT$Large brown military high capacity backpack.","$UNT$Large brown military high capacity backpack.","$UNT$Large brown military high capacity backpack.","$UNT$Large brown military high capacity backpack.","$UNT$Large brown military high capacity backpack.","$UNT$Large brown military high capacity backpack.","$UNT$Large brown military high capacity backpack.",
"str_cfgvehicles_courierbag1","Simple courier bag made from rope and burlap sack. Discreet yet effective.","Simple courier bag made from rope and burlap sack. Discreet yet effective.","Jednoduchá brašna přes rameno z lana a pytle. Diskrétní a efektivní.","Einfache Umhängetasche aus Seilen und Jute. Schlicht und effektiv.","Простая сумка из веревки и мешковины. Простенькая, но эффективная.","Prosta torba na ramię z liny i tkaniny jutowej. Dyskretna i solidna.","Simple courier bag made from rope and burlap sack. Discreet yet effective.","Una semplice borsa da corriere realizzata con corda e sacco di iuta. Discreta ma efficace.","Una sencilla bolsa de mensajero, hecha de yute y cuerda. Discreta pero efectiva.","Une sacoche conçue à partir de corde et d'un sac en toile de jute. Discret et pratique.","造型簡單的郵差包，材料是繩子與粗布袋。造型樸實但很實用。","ロープと黄麻布の袋で作ったシンプルなバッグ。目立たないが効果的。","Simple courier bag made from rope and burlap sack. Discreet yet effective.","由绳子和粗麻袋制成的简单快递袋。朴素但好用。",
"str_cfgvehicles_courierbag0","Burlap Courier Bag","Burlap Courier Bag","Brašna z pytloviny přes rameno","Jute-Umhängetasche","Сумка из мешочной ткани","Jutowa torba na ramię","Burlap Courier Bag","Borsa da corriere di iuta","Bolsa de mensajero de yute","Sacoche en jute","粗布郵差包","黄麻布のバッグ","Burlap Courier Bag","粗麻快递袋",
"str_cfgvehicles_childbag_red0","$UNT$A cute small red children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small red children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small red children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small red children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small red children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small red children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small red children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small red children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small red children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small red children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small red children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small red children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small red children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small red children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.",
"str_cfgvehicles_childbag_green0","$UNT$A cute small green children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small green children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small green children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small green children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small green children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small green children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small green children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small green children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small green children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small green children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small green children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small green children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small green children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small green children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.",
"str_cfgvehicles_childbag_colorbase1","A child backpack. Not very practical in terms of carrying space, but helps keeping a low profile.","A child backpack. Not very practical in terms of carrying space, but helps keeping a low profile.","Dětská aktovka. Co do úložného prostoru není moc praktická, ale je celkem nenápadná.","Rucksack für Kinder. Nicht besonders praktisch, was den Stauraum angeht, aber relativ unauffällig.","Детский рюкзак. Не очень практичен в плане вместимости, но зато незаметный.","Plecak dziecięcy. Nie jest przesadnie pojemny, ale umożliwia wtopienie się w tłum.","A child backpack. Not very practical in terms of carrying space, but helps keeping a low profile.","Uno zaino per bambini. Non è molto pratico in quanto a capacità di trasporto, ma aiuta a mantenere un basso profilo.","Una mochila para niños. No es muy práctica a nivel de espacio disponible, pero es útil si se quiere mantener un perfil bajo.","Un cartable à la contenance limitée, mais sa petite taille assure une certaine discrétion.","兒童背包。容量差強人意，但造型不會引來注意。","子供のバックパック。運搬能力においてはあまり実用性はないが、目立たずに移動するのに役立つ。","A child backpack. Not very practical in terms of carrying space, but helps keeping a low profile.","孩子的背包。在空间方面不太实用，但有助于保持低调。",
"str_cfgvehicles_childbag_colorbase0","School Backpack","School Backpack","Školní brašna","Schulranzen","Школьный рюкзак","Tornister","School Backpack","Zaino scolastico","Mochila escolar","Cartable d'écolier","後背書包","学校用バックパック","School Backpack","学生背包",
"str_cfgvehicles_childbag_blue0","$UNT$A cute small blue children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small blue children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small blue children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small blue children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small blue children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small blue children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small blue children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small blue children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small blue children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small blue children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small blue children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small blue children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small blue children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.","$UNT$A cute small blue children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class.",
"str_cfgvehicles_ghillietop_woodland1","$UNT$Woodland Ghillie Top","$UNT$Woodland Ghillie Top","$UNT$Woodland Ghillie Top","$UNT$Woodland Ghillie Top","$UNT$Woodland Ghillie Top","$UNT$Woodland Ghillie Top","$UNT$Woodland Ghillie Top","$UNT$Woodland Ghillie Top","$UNT$Woodland Ghillie Top","$UNT$Woodland Ghillie Top","$UNT$Woodland Ghillie Top","$UNT$Woodland Ghillie Top","$UNT$Woodland Ghillie Top","$UNT$Woodland Ghillie Top",
"str_cfgvehicles_bagtortillaabove1","$UNT$Medium sized assault backpack, it has one large chamber, two side pockets and two back pockets, wide shoulder straps with quick release, Sturdy and comfortable main belt, it's made of waterproof cordura.","$UNT$Medium sized assault backpack, it has one large chamber, two side pockets and two back pockets, wide shoulder straps with quick release, Sturdy and comfortable main belt, it's made of waterproof cordura.","$UNT$Medium sized assault backpack, it has one large chamber, two side pockets and two back pockets, wide shoulder straps with quick release, Sturdy and comfortable main belt, it's made of waterproof cordura.","$UNT$Medium sized assault backpack, it has one large chamber, two side pockets and two back pockets, wide shoulder straps with quick release, Sturdy and comfortable main belt, it's made of waterproof cordura.","$UNT$Medium sized assault backpack, it has one large chamber, two side pockets and two back pockets, wide shoulder straps with quick release, Sturdy and comfortable main belt, it's made of waterproof cordura.","$UNT$Medium sized assault backpack, it has one large chamber, two side pockets and two back pockets, wide shoulder straps with quick release, Sturdy and comfortable main belt, it's made of waterproof cordura.","$UNT$Medium sized assault backpack, it has one large chamber, two side pockets and two back pockets, wide shoulder straps with quick release, Sturdy and comfortable main belt, it's made of waterproof cordura.","$UNT$Medium sized assault backpack, it has one large chamber, two side pockets and two back pockets, wide shoulder straps with quick release, Sturdy and comfortable main belt, it's made of waterproof cordura.","$UNT$Medium sized assault backpack, it has one large chamber, two side pockets and two back pockets, wide shoulder straps with quick release, Sturdy and comfortable main belt, it's made of waterproof cordura.","$UNT$Medium sized assault backpack, it has one large chamber, two side pockets and two back pockets, wide shoulder straps with quick release, Sturdy and comfortable main belt, it's made of waterproof cordura.","$UNT$Medium sized assault backpack, it has one large chamber, two side pockets and two back pockets, wide shoulder straps with quick release, Sturdy and comfortable main belt, it's made of waterproof cordura.","$UNT$Medium sized assault backpack, it has one large chamber, two side pockets and two back pockets, wide shoulder straps with quick release, Sturdy and comfortable main belt, it's made of waterproof cordura.","$UNT$Medium sized assault backpack, it has one large chamber, two side pockets and two back pockets, wide shoulder straps with quick release, Sturdy and comfortable main belt, it's made of waterproof cordura.","$UNT$Medium sized assault backpack, it has one large chamber, two side pockets and two back pockets, wide shoulder straps with quick release, Sturdy and comfortable main belt, it's made of waterproof cordura.",
"str_cfgvehicles_ghillietop_tan1","$UNT$Tan Ghillie Top","$UNT$Tan Ghillie Top","$UNT$Tan Ghillie Top","$UNT$Tan Ghillie Top","$UNT$Tan Ghillie Top","$UNT$Tan Ghillie Top","$UNT$Tan Ghillie Top","$UNT$Tan Ghillie Top","$UNT$Tan Ghillie Top","$UNT$Tan Ghillie Top","$UNT$Tan Ghillie Top","$UNT$Tan Ghillie Top","$UNT$Tan Ghillie Top","$UNT$Tan Ghillie Top",
